Raw Date,Day,Month,Year,Beta 0,Beta 1,Beta 2,Beta 3,Tau 1,Tau 2,Ext_Error
42124.0,30,4,2015,7.80540504461173,-0.103299429692076,0.374522159559938,-0.47127707473918,0.03364664614752,1.0,0
42494.0,4,5,2016,7.86233434990596,-1.3297766319752,-6.13520700403407,6.71729772808427,2.8542536559563,2.86031795148598,0
42859.0,4,5,2017,7.55091507808656,-1.44788841718803,0.467788727719786,0.627927135011257,4.32405741332628,8.37485023733005,0
41064.0,4,6,2012,10.022,-1.8201,-1.3042,-1.4329,15.0,1.0,0
41429.0,4,6,2013,7.7108,-0.41005,-0.4339,-0.54565,8.6705,1.0,0
41794.0,4,6,2014,8.66406399270437,-0.273423513014139,-0.526031473338888,-0.461396897272249,1.5234679603076,1.52574578351912,0
42159.0,4,6,2015,7.98072087496651,-0.410103961108912,-0.684185381238286,0.0136840220787016,0.597698169479346,2.36991064754488,0
42888.0,2,6,2017,7.48667244423196,-1.32359383998225,-0.197821594009582,-0.078188190259978,2.92638520582343,2.745504432108,0
43255.0,4,6,2018,7.95326961411857,-1.99679511075737,9.82592224678741e-05,1.43229548609385,0.957612405093389,2.91933219992118,0
41404.0,10,5,2013,7.7502,-0.329,-0.65779,-0.74898,1.2132,1.214,0
41771.0,12,5,2014,9.05402272785474,-0.496838377173848,1.09227465429571,-2.71818581514523,0.331697170983085,1.0,0
42136.0,12,5,2015,7.93542146804033,-0.210211283546796,-0.00119937660139844,-0.735120874360597,0.0172435877381613,1.03248130989925,0
42502.0,12,5,2016,7.90505739498665,-1.27208766583194,-2.21923849590183e-05,-2.29856154814632,0.43483685911918,1.0,0
43628.0,12,6,2019,7.4384,-1.5792,-12.2199,12.9984,3.4017,3.5239,0
40704.0,10,6,2011,8.7458,-1.3232,-0.0065756,-3.3361,0.057429,1.2882,0
41072.0,12,6,2012,9.5457,-1.2264,-3.2196,-3.317,0.91238,6.521,0
41437.0,12,6,2013,7.8145,-0.4741,-0.070117,-0.30959,15.0,1.0,0
41802.0,12,6,2014,8.25176417212074,0.149042397834506,-10.0,9.80588378519931,2.90232820377824,3.37266951822476,0
42531.0,10,6,2016,7.89947948159887,-1.23838143407072,0.851941353325068,-1.02390140791691,2.39112156142365,1.42118194372061,0
42898.0,12,6,2017,7.24113587955495,-1.01354651081512,-0.45756055067808,-1.03978469834498,1.29259470237124,1.67716460033234,0
43263.0,12,6,2018,8.03651870412552,-2.07075643365678,-7.63315800809212e-06,1.11472111108002,0.728832159556195,4.35405147984438,0
40371.0,12,7,2010,8.636,-3.589,-1.0672,-0.77044,1.2992,1.3372,0
