Date,Snp,Gold,Oil
2018-03-27,2612.620117,1341.300049,65.25
2018-03-28,2605,1324.199951,64.379997
2018-03-29,2640.870117,1322.800049,64.940002
2018-04-02,2581.879883,1342.099976,63.009998
2018-04-03,2614.449951,1332.800049,63.509998
2018-04-04,2644.689941,1335.800049,63.369999
2018-04-05,2662.840088,1324.300049,63.540001
2018-04-06,2604.469971,1331.900024,62.060001
2018-04-09,2613.159912,1336.300049,63.419998
2018-04-10,2656.870117,1342,65.510002
2018-04-11,2642.189941,1356.5,66.82
2018-04-12,2663.98999,1338.400024,67.07
2018-04-13,2656.300049,1344.800049,67.389999
2018-04-16,2677.840088,1347.5,66.220001
2018-04-17,2706.389893,1347.199951,66.519997
2018-04-18,2708.639893,1351.199951,68.470001
2018-04-19,2693.129883,1346.800049,68.290001
2018-04-20,2670.139893,1336.699951,68.379997
2018-04-23,2670.290039,1322.5,68.639999
2018-04-24,2634.560059,1331.400024,67.699997
2018-04-25,2639.399902,1321.199951,68.050003
2018-04-26,2666.939941,1316.300049,68.190002
2018-04-27,2669.909912,1320.300049,68.099998
2018-04-30,2648.050049,1316.199951,68.57
2018-05-01,2654.800049,1303.800049,67.25
2018-05-02,2635.669922,1302.599976,67.93
2018-05-03,2629.72998,1310.699951,68.43
2018-05-04,2663.419922,1312.699951,69.720001
2018-05-07,2672.629883,1312.199951,70.730003
2018-05-08,2671.919922,1312,69.059998
2018-05-09,2697.790039,1311.300049,71.139999
2018-05-10,2723.070068,1320.800049,71.360001
2018-05-11,2727.719971,1319,70.699997
2018-05-14,2730.129883,1316.5,70.959999
2018-05-15,2711.449951,1288.900024,71.309998
2018-05-16,2722.459961,1290.199951,71.489998
2018-05-17,2720.129883,1288.199951,71.489998
2018-05-18,2712.969971,1290.199951,71.279999
2018-05-21,2733.01001,1290.199951,72.239998
2018-05-22,2724.439941,1291.699951,72.129997
2018-05-23,2733.290039,1289.300049,71.839996
2018-05-24,2727.76001,1303.699951,70.709999
2018-05-25,2721.330078,1303.300049,67.879997
2018-05-29,2689.860107,1298.699951,66.730003
2018-05-30,2724.01001,1301.5,68.209999
2018-05-31,2705.27002,1300.099976,67.040001
2018-06-01,2734.620117,1294.800049,65.809998
2018-06-04,2746.870117,1293.099976,64.75
2018-06-05,2748.800049,1297.5,65.519997
2018-06-06,2772.350098,1297.099976,64.730003
2018-06-07,2770.370117,1298.699951,65.949997
2018-06-08,2779.030029,1298.099976,65.739998
2018-06-11,2782,1298.900024,66.099998
2018-06-12,2786.850098,1295.099976,66.360001
2018-06-13,2775.629883,1296.900024,66.639999
2018-06-14,2782.48999,1304,66.889999
2018-06-15,2779.659912,1274.599976,65.059998
2018-06-18,2773.75,1276.199951,65.849998
2018-06-19,2762.590088,1275.599976,65.07
2018-06-20,2767.320068,1271.199951,66.220001
2018-06-21,2749.76001,1267.199951,65.540001
2018-06-22,2754.879883,1267.400024,68.580002
2018-06-25,2717.070068,1265.599976,68.080002
2018-06-26,2723.060059,1256.599976,70.529999
2018-06-27,2699.629883,1252.800049,72.760002
2018-06-28,2716.310059,1247.800049,73.449997
2018-06-29,2718.370117,1251.300049,74.150002
2018-07-02,2726.709961,1239.800049,73.940002
2018-07-03,2713.219971,1239.800049,73.940002
2018-07-05,2736.610107,1257.300049,72.940002
2018-07-06,2759.820068,1254.300049,73.800003
2018-07-09,2784.169922,1258.099976,73.849998
2018-07-10,2793.840088,1253.800049,74.110001
2018-07-11,2774.02002,1242.800049,70.379997
2018-07-12,2798.290039,1245,70.330002
2018-07-13,2801.310059,1239.599976,71.010002
2018-07-16,2798.429932,1238.099976,68.059998
2018-07-17,2809.550049,1225.699951,68.080002
2018-07-18,2815.620117,1226.300049,68.760002
2018-07-19,2804.48999,1222.400024,69.459999
2018-07-20,2801.830078,1229.5,70.459999
2018-07-23,2806.97998,1224,67.889999
2018-07-24,2820.399902,1223.900024,68.519997
2018-07-25,2846.070068,1231.400024,69.300003
2018-07-26,2837.439941,1225.300049,69.610001
2018-07-27,2818.820068,1222.599976,68.690002
2018-07-30,2802.600098,1221.300049,70.129997
2018-07-31,2816.290039,1223.699951,68.760002
2018-08-01,2813.360107,1217.900024,67.660004
2018-08-02,2827.219971,1210.599976,68.959999
2018-08-03,2840.350098,1214.199951,68.489998
2018-08-06,2850.399902,1208.599976,69.010002
2018-08-07,2858.449951,1209.599976,69.169998
2018-08-08,2857.699951,1212.599976,66.940002
2018-08-09,2853.580078,1211.900024,66.809998
2018-08-10,2833.280029,1211.099976,67.629997
2018-08-13,2821.929932,1191.300049,67.199997
2018-08-14,2839.959961,1193,67.040001
2018-08-15,2818.370117,1177.5,65.010002
2018-08-16,2840.689941,1176.199951,65.459999
2018-08-17,2850.129883,1176.5,65.910004
2018-08-20,2857.050049,1186.800049,66.43
2018-08-21,2862.959961,1192.599976,67.349998
2018-08-22,2861.820068,1196.300049,67.860001
2018-08-23,2856.97998,1187,67.830002
2018-08-24,2874.689941,1206.300049,68.720001
2018-08-27,2896.73999,1209,68.870003
2018-08-28,2897.52002,1207.400024,68.529999
2018-08-29,2914.040039,1204.5,69.510002
2018-08-30,2901.129883,1197.699951,70.25
2018-08-31,2901.52002,1200.300049,69.800003
2018-09-04,2896.719971,1192.699951,69.870003
2018-09-05,2888.600098,1194.900024,68.720001
2018-09-06,2878.050049,1197.900024,67.769997
2018-09-07,2871.679932,1193.599976,67.75
2018-09-10,2877.129883,1193,67.540001
2018-09-11,2887.889893,1195.400024,69.25
2018-09-12,2888.919922,1204.699951,70.370003
2018-09-13,2904.179932,1202,68.589996
2018-09-14,2904.97998,1195,68.989998
2018-09-17,2888.800049,1199.699951,68.910004
2018-09-18,2904.310059,1196.800049,69.849998
2018-09-19,2907.949951,1202.199951,71.120003
2018-09-20,2930.75,1206.199951,70.800003
2018-09-21,2929.669922,1196.199951,70.779999
2018-09-24,2919.370117,1199.300049,72.080002
2018-09-25,2915.560059,1200,72.279999
2018-09-26,2905.969971,1194,71.57
2018-09-27,2914,1182.300049,72.120003
2018-09-28,2913.97998,1191.5,73.25
2018-10-01,2924.590088,1187.099976,75.300003
2018-10-02,2923.429932,1202.400024,75.230003
2018-10-03,2925.51001,1198.300049,76.410004
2018-10-04,2901.610107,1197.199951,74.330002
2018-10-05,2885.570068,1201.199951,74.339996
2018-10-08,2884.429932,1184.400024,74.290001
2018-10-09,2880.340088,1187.199951,74.959999
2018-10-10,2785.679932,1189.300049,73.169998
2018-10-11,2728.370117,1223.5,70.970001
2018-10-12,2767.129883,1218.099976,71.339996
2018-10-15,2750.790039,1226.400024,71.779999
2018-10-16,2809.919922,1227.300049,71.919998
2018-10-17,2809.209961,1223.699951,69.75
2018-10-18,2768.780029,1226.5,68.650002
2018-10-19,2767.780029,1225.300049,69.120003
2018-10-22,2755.879883,1221.199951,69.169998
2018-10-23,2740.689941,1233.400024,66.43
2018-10-24,2656.100098,1227.800049,66.82
2018-10-25,2705.570068,1229.099976,67.330002
2018-10-26,2658.689941,1232.5,67.589996
2018-10-29,2641.25,1224.5,67.040001
2018-10-30,2682.629883,1222.599976,66.18
2018-10-31,2711.73999,1212.300049,65.309998
2018-11-01,2740.370117,1236,63.689999
2018-11-02,2723.060059,1230.900024,63.139999
2018-11-05,2738.310059,1229.800049,63.099998
2018-11-06,2755.449951,1223.800049,62.209999
2018-11-07,2813.889893,1226.199951,61.669998
2018-11-08,2806.830078,1222.900024,60.669998
2018-11-09,2781.01001,1206.400024,60.189999
2018-11-12,2726.219971,1201.300049,59.93
2018-11-13,2722.179932,1199.199951,55.689999
2018-11-14,2701.580078,1207.900024,56.25
2018-11-15,2730.199951,1212.800049,56.459999
2018-11-16,2736.27002,1220.800049,56.459999
2018-11-19,2690.72998,1223.099976,56.759998
2018-11-20,2641.889893,1219,53.43
2018-11-21,2649.929932,1225.800049,54.630001
2018-11-23,2632.560059,1225.800049,54.630001
2018-11-26,2673.449951,1220.199951,51.630001
2018-11-27,2682.169922,1211.199951,51.560001
2018-11-28,2743.790039,1221.400024,50.290001
