"","beta12","beta13","beta21","beta23","beta31","beta32"
"1970-09-06 05:30:00",-0.0773753199551869,2.03720118358272,-0.0773753199551869,0.00324847917422274,2.03720118358272,6.03105416467445
"1970-09-07 05:30:00",-0.0764891787591358,2.57377103442824,-0.0764891787591358,0.00343929506991911,2.57377103442824,6.12618198158071
"1970-09-08 05:30:00",-0.0603879856757997,3.12382402784607,-0.0603879856757997,0.00414666394808278,3.12382402784607,7.45868772589806
"1970-09-09 05:30:00",-0.0600711710954234,2.99968746718435,-0.0600711710954234,0.00408969525366811,2.99968746718435,6.72000569514192
"1970-09-10 05:30:00",-0.0568397234140879,3.01244602364198,-0.0568397234140879,0.00391628028965623,3.01244602364198,6.34306474087662
"1970-09-11 05:30:00",-0.0499023868382491,3.06718947889934,-0.0499023868382491,0.00433252362895148,3.06718947889934,6.97782915817824
"1970-09-12 05:30:00",-0.0488800849417598,2.78964969893529,-0.0488800849417598,0.00422763903411055,2.78964969893529,6.19271388352264
"1970-09-13 05:30:00",-0.052746808737393,2.83695240365366,-0.052746808737393,0.00416903827778651,2.83695240365366,6.11252097560133
"1970-09-14 05:30:00",-0.0458744791804167,3.78203981404305,-0.0458744791804167,0.00505479819738747,3.78203981404305,6.26875381073372
"1970-09-15 05:30:00",-0.0496090657758067,3.55684077344198,-0.0496090657758067,0.0049642789749522,3.55684077344198,7.63307628163438
"1970-09-16 05:30:00",-0.0415339998779705,3.62477696412574,-0.0415339998779705,0.00469538751296175,3.62477696412574,7.64681994739715
"1970-09-17 05:30:00",-0.0504988197280427,4.39798541203652,-0.0504988197280427,0.00466318917479118,4.39798541203652,7.00837321568719
"1970-09-18 05:30:00",-0.0506348918339166,6.04525371611954,-0.0506348918339166,0.00496693811897908,6.04525371611954,6.85513745245591
"1970-09-19 05:30:00",-0.0305176180106983,6.97925204620714,-0.0305176180106983,0.00597240657370512,6.97925204620714,7.61936847771727
"1970-09-20 05:30:00",-0.0295278465934412,6.8111108753441,-0.0295278465934412,0.00607731892197761,6.8111108753441,7.45938468474064
"1970-09-21 05:30:00",-0.0275177010033154,6.13599298115218,-0.0275177010033154,0.00681119191315407,6.13599298115218,7.60704345438018
"1970-09-22 05:30:00",-0.00203358876748178,10.6249819044932,-0.00203358876748178,0.00678374911343122,10.6249819044932,7.47791075149118
"1970-09-23 05:30:00",-0.031511501655047,18.6383075721393,-0.031511501655047,0.00677010843274986,18.6383075721393,7.08051001031111
"1970-09-24 05:30:00",-0.0442208591940376,18.0902998651951,-0.0442208591940376,0.00668156165733314,18.0902998651951,6.90844023854601
"1970-09-25 05:30:00",0.00650279550742299,15.347679911534,0.00650279550742299,0.00811806364818133,15.347679911534,12.2805436444067
"1970-09-26 05:30:00",0.0177955980382898,20.2637905383779,0.0177955980382898,0.00855212606838983,20.2637905383779,11.3535745943286
"1970-09-27 05:30:00",0.0106867060445346,15.9900358802291,0.0106867060445346,0.00962803097580585,15.9900358802291,9.75722982191106
"1970-09-28 05:30:00",0.0271980158310067,17.7396347941026,0.0271980158310067,0.0100116391400002,17.7396347941026,9.42939161478957
"1970-09-29 05:30:00",0.0190007978507053,16.6849975784532,0.0190007978507053,0.0100110709094754,16.6849975784532,9.28465613012757
"1970-09-30 05:30:00",0.0252207180979502,14.9182346455709,0.0252207180979502,0.00985284206932794,14.9182346455709,11.646101675591
"1970-10-01 05:30:00",0.00473752676845024,15.5602128031302,0.00473752676845024,0.009558319209576,15.5602128031302,11.248112685421
"1970-10-02 05:30:00",2.88967290014166e-05,14.2590221311732,2.88967290014166e-05,0.00970736716390001,14.2590221311732,10.2707521908936
"1970-10-03 05:30:00",-0.0179994262943839,13.623783175437,-0.0179994262943839,0.00750189967513984,13.623783175437,11.8999237725528
"1970-10-04 05:30:00",-0.0196337192425405,13.9069554157895,-0.0196337192425405,0.00755517023344318,13.9069554157895,11.4937556091272
"1970-10-05 05:30:00",-0.0216520460101164,12.4130559358525,-0.0216520460101164,0.00770969110339429,12.4130559358525,10.2771331216823
"1970-10-06 05:30:00",-0.0332932359534732,15.5881947693018,-0.0332932359534732,0.00778798671878641,15.5881947693018,9.74060945761518
"1970-10-07 05:30:00",-0.0248045808871655,15.0653127939773,-0.0248045808871655,0.00808892397786738,15.0653127939774,9.72133516348378
"1970-10-08 05:30:00",-0.0182872558108288,14.6615957647388,-0.0182872558108288,0.00817324069706519,14.6615957647388,9.68834611233917
"1970-10-09 05:30:00",-0.0196674646222514,13.7704214377551,-0.0196674646222514,0.00846796064338063,13.7704214377551,9.0637377406077
"1970-10-10 05:30:00",0.0362075088456477,14.6182304357573,0.0362075088456477,0.00889984693025922,14.6182304357573,11.4778614826031
"1970-10-11 05:30:00",0.0179114098019438,14.1549533883003,0.0179114098019438,0.00804966361533265,14.1549533883003,11.4822387361016
"1970-10-12 05:30:00",0.0123868167966291,13.0123000394643,0.0123868167966291,0.00783837612020666,13.0123000394643,10.4420430511715
"1970-10-13 05:30:00",0.0369616434273917,13.1508607761285,0.0369616434273917,0.0065068335774123,13.1508607761285,13.2558216770733
"1970-10-14 05:30:00",0.030218688821331,12.2669399820564,0.030218688821331,0.00663077425997837,12.2669399820564,12.9529532277343
"1970-10-15 05:30:00",0.0259847235733119,10.8555828805107,0.0259847235733119,0.00696563030638543,10.8555828805107,11.944989685432
"1970-10-16 05:30:00",0.0170607292479545,10.4986336638697,0.0170607292479545,0.00662649376397639,10.4986336638697,11.2408561300193
"1970-10-17 05:30:00",0.0192032430173509,10.1785323121795,0.0192032430173509,0.00721784187440186,10.1785323121795,10.3686106596282
"1970-10-18 05:30:00",0.0155001631209069,9.55821924919715,0.0155001631209069,0.00714611567799458,9.55821924919715,9.77601621364417
"1970-10-19 05:30:00",0.0127173412410305,8.46418313278544,0.0127173412410305,0.00763382879379231,8.46418313278544,9.06409439981135
"1970-10-20 05:30:00",0.0117545077403491,8.09515259930697,0.0117545077403491,0.00789629689840585,8.09515259930697,8.6626325825566
"1970-10-21 05:30:00",0.0204290508677826,8.02551925109221,0.0204290508677826,0.00734058935677957,8.02551925109221,8.95162567730113
"1970-10-22 05:30:00",0.000808155553953502,9.57593064084669,0.000808155553953502,0.00706700345764577,9.57593064084669,8.6421024888686
"1970-10-23 05:30:00",-0.00482331478411422,8.25222120413714,-0.00482331478411422,0.00530905151176477,8.25222120413714,6.45089728127571
"1970-10-24 05:30:00",-0.00338426763752006,6.79579568915359,-0.00338426763752006,0.00672771356043672,6.79579568915359,6.4128642788517
"1970-10-25 05:30:00",-0.062189201781984,8.94321306249127,-0.062189201781984,0.00631054498870718,8.94321306249127,6.64879928782204
"1970-10-26 05:30:00",-0.159486120892508,10.1394796375465,-0.159486120892508,0.00622627197092664,10.1394796375465,7.60223124788049
"1970-10-27 05:30:00",-0.165986107015903,11.0754056317932,-0.165986107015903,0.00639380620605537,11.0754056317932,7.28655113286659
"1970-10-28 05:30:00",-0.149215506903065,11.6732307514781,-0.149215506903065,0.00635944307261487,11.6732307514781,7.35403531683746
"1970-10-29 05:30:00",-0.120095230898581,10.8789019650989,-0.120095230898581,0.00633847681019632,10.8789019650989,8.55695716994558
"1970-10-30 05:30:00",-0.127290221893631,11.0997273223582,-0.127290221893631,0.00639338083463138,11.0997273223582,7.76668256539368
"1970-10-31 05:30:00",-0.135758442577731,10.5608455040496,-0.135758442577731,0.00583222932684775,10.5608455040496,6.06081873660666
"1970-11-01 05:30:00",-0.129075374762248,9.7627269411074,-0.129075374762248,0.00553267996602213,9.7627269411074,5.52111440972406
"1970-11-02 05:30:00",-0.111714044152882,9.54088318235635,-0.111714044152882,0.00522199780303648,9.54088318235635,5.41573148613333
"1970-11-03 05:30:00",-0.110333872323311,9.11946405834294,-0.110333872323311,0.00515964850985735,9.11946405834294,5.31816195346203
"1970-11-04 05:30:00",-0.120253785112845,9.48528223320099,-0.120253785112845,0.00513422876602491,9.48528223320099,4.70768432557421
"1970-11-05 05:30:00",-0.148071802680752,10.3319072507635,-0.148071802680752,0.00429263372168632,10.3319072507635,4.01450648771976
"1970-11-06 05:30:00",-0.144337274333013,8.92393509032131,-0.144337274333013,0.00472129803492559,8.92393509032132,3.78125438668976
"1970-11-07 05:30:00",-0.135692398557698,7.87338221924849,-0.135692398557698,0.00549678104311885,7.87338221924849,3.89410759449038
"1970-11-08 05:30:00",-0.129046921542323,7.62347844350189,-0.129046921542323,0.00563215605329122,7.62347844350189,3.86662916869945
"1970-11-09 05:30:00",-0.124790983034537,7.05412008022015,-0.124790983034537,0.00591781100661034,7.05412008022015,3.72290830787224
"1970-11-10 05:30:00",-0.172699530340648,7.34755779079938,-0.172699530340648,0.00617594933817093,7.34755779079938,3.92369042089812
"1970-11-11 05:30:00",-0.166361446507755,6.76967478641385,-0.166361446507755,0.00615314052183934,6.76967478641386,3.61235321581154
"1970-11-12 05:30:00",-0.160940047894585,6.16832447483783,-0.160940047894585,0.00625776302380097,6.16832447483783,3.29319681505368
"1970-11-13 05:30:00",-0.181696850272509,6.37232962801509,-0.181696850272509,0.00580362593773585,6.37232962801509,3.39050484437354
"1970-11-14 05:30:00",-0.177688696923556,6.17574753444528,-0.177688696923556,0.00492735471078497,6.17574753444528,2.89132644800821
"1970-11-15 05:30:00",-0.137608737881789,5.75568872917761,-0.137608737881789,0.00357195507697528,5.75568872917761,2.51522625494813
"1970-11-16 05:30:00",-0.205031286179567,8.38219483419046,-0.205031286179567,0.00314296585133259,8.38219483419046,2.07256802840318
"1970-11-17 05:30:00",-0.183448114031009,7.78551950171792,-0.183448114031009,0.00351834463180046,7.78551950171792,2.64824604999761
"1970-11-18 05:30:00",-0.189298395994487,7.86093739858359,-0.189298395994487,0.00349203103149648,7.86093739858359,2.5493769265905
"1970-11-19 05:30:00",-0.184910948527612,7.70444048927544,-0.184910948527612,0.00350400856196655,7.70444048927545,2.48580817840608
"1970-11-20 05:30:00",-0.190290108951728,7.16498760100756,-0.190290108951728,0.00362455293216131,7.16498760100756,2.3836108765128
"1970-11-21 05:30:00",-0.155237160056784,6.76252086368869,-0.155237160056784,0.00351874508938886,6.76252086368869,3.17514050966741
"1970-11-22 05:30:00",-0.148070952958088,7.10153817882498,-0.148070952958088,0.00364472964563887,7.10153817882498,3.24782140186808
"1970-11-23 05:30:00",-0.146403431890829,6.51522176505297,-0.146403431890829,0.00395799864987746,6.51522176505297,3.36117669876866
"1970-11-24 05:30:00",-0.156447801655994,7.35658062896119,-0.156447801655994,0.00418664306302872,7.35658062896119,3.09970805080297
"1970-11-25 05:30:00",-0.149707665406482,7.45404176394187,-0.149707665406482,0.00446384422063436,7.45404176394187,3.1507065716502
"1970-11-26 05:30:00",-0.150578077271626,7.13535986511989,-0.150578077271626,0.00456763606877153,7.13535986511989,3.1231954899697
"1970-11-27 05:30:00",-0.153255481632369,8.09949702638983,-0.153255481632369,0.00520472393355195,8.09949702638983,3.04578798931678
"1970-11-28 05:30:00",-0.135809931608553,7.98100819539482,-0.135809931608553,0.00505840414538629,7.98100819539482,3.06680589589812
"1970-11-29 05:30:00",-0.123401219523993,7.39303938060762,-0.123401219523993,0.00574370814378491,7.39303938060762,3.37586848775184
"1970-11-30 05:30:00",-0.122943903058596,7.01532867527278,-0.122943903058596,0.00582176039627902,7.01532867527278,3.28202467006796
"1970-12-01 05:30:00",-0.0542076019719136,5.60605990928983,-0.0542076019719136,0.000909153691622659,5.60605990928983,0.777895416128005
"1970-12-02 05:30:00",-0.0541397130423109,5.32993054849411,-0.0541397130423109,0.000891330996615348,5.32993054849411,0.720332172520388
"1970-12-03 05:30:00",-0.0467557944045158,5.12406050128257,-0.0467557944045158,0.000877782414439384,5.12406050128257,0.819972871044837
"1970-12-04 05:30:00",-0.0494824347030517,4.9680849986514,-0.0494824347030517,0.000966678108173569,4.96808499865139,0.888553626013822
"1970-12-05 05:30:00",-0.0513213607747126,5.09392059380084,-0.0513213607747126,0.00102884766017766,5.09392059380084,0.907235696670497
"1970-12-06 05:30:00",-0.0323206976396594,5.14738366889847,-0.0323206976396594,0.00160861796157775,5.14738366889847,1.71122108493678
"1970-12-07 05:30:00",-0.0302729321028379,4.88852477764126,-0.0302729321028379,0.00205796564634922,4.88852477764126,2.0257542895105
"1970-12-08 05:30:00",-0.0405055941155889,5.04504883868469,-0.0405055941155889,0.00123653178788233,5.04504883868469,1.15214253829968
"1970-12-09 05:30:00",-0.0373278294459561,4.38825736948868,-0.0373278294459561,0.0023622346748463,4.38825736948868,1.56105086757246
