DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Hired Machine (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Manure (Qtl.),Insecticides (Rs.),Total Irrigation Charges (Rs.),Miscelaneous Cost (Rs.), Total Capital (Rs.)
4337,West Bengal-4-37-10,256.7,3.68,3403.333,0,121.5,369,1021.09,0,21678.5,21600,450,215650
4338,West Bengal-4-37-2,62.3,0.88,810.747,0,28.08,75,240.92,0,4531.5,5400,0,45315
4340,West Bengal-4-37-4,107.5,1.56,1281.583,0,66.25,147,417.32,0,8958.5,7200,267,83766
4341,West Bengal-4-37-5,113.1,1.6,1388.5,0,76,149,414.85,24,8447,7200,560,74118
4342,West Bengal-4-37-6,128.6,1.92,1726.084,0,80.25,162,535,15,13676,10800,35,286195
4343,West Bengal-4-37-7,133.2,1.96,1676.501,0,81.5,190,477.45,0,17769.5,7200,90,69377
4344,West Bengal-4-37-8,164.8,2.4,1913.167,0,0,298,630.07,0,19408,12000,0,503083
4345,West Bengal-4-37-9,166.8,2.403,2036.667,0,95.5,212,581.33,0,17347.5,8120,170,339318
4350,West Bengal-4-38-6,99.95,1.61,1326.49,0,37.67,125,450.07,0,10396.6,3244.724,442,854938
4351,West Bengal-4-38-8,141.3,2.21,2415.633,0,0,263.4,599.77,0,17391.15,5069.352,350,1618520
4353,West Bengal-4-39-1,12.8,0.2,247,0,4,17,69.44,10,741,3000,0,1480
4356,West Bengal-4-39-3,93.2,1.58,1810,0,25,105,373.1,25,3825,9000,0,42780
4357,West Bengal-4-39-4,79.6,1.36,1682.5,0,21.5,105,279.68,50,4167.5,4100,0,36800
4358,West Bengal-4-39-5,112,1.8,2154,0,30,135,440.88,50,6788,15000,360,47820
4360,West Bengal-4-39-7,103,1.7,2100,0,27,117,380.48,50,6658,5000,378,51960
4362,West Bengal-4-39-9,128,2.04,2470,0,32,150,475.8,50,7375,10100,378,45600
4363,West Bengal-4-40-1,5.95,0.1,150.5,0,2,9,5.52,0,40,3520,0,876
4364,West Bengal-4-40-10,94.6,2.1,2518.48,0,0,183.48,114.08,37,805,5000.249,0,568164
4365,West Bengal-4-40-2,2.97,0.05,77,0,1,4.5,2.76,0,20,1810,0,276
4366,West Bengal-4-40-3,2.95,0.05,74,0,1,4.5,2.76,0,20,1720,0,230
4367,West Bengal-4-40-4,6.47,0.11,143.5,0,2,10,4.6,0,40,3240,0,168
4368,West Bengal-4-40-5,6.98,0.12,172,0,2.5,11,7.36,8,50,4080,0,327
4369,West Bengal-4-40-6,6.65,0.095,100.5,0,2,9,5.98,0,35,3160,0,254
4370,West Bengal-4-40-7,8.94,0.15,229.32,0,1.32,12,10.12,0,54,5360,0,1276
4371,West Bengal-4-40-8,2.96,0.05,77,0,1,5,2.76,0,20,1800,0,106
4372,West Bengal-4-40-9,12.02,0.2,264.33,0,3.83,18,12.88,11,90,1760,0,4338
4373,West Bengal-4-41-1,5.29,0.1,127,0,1.5,8,15.614,0,105,96,0,29800
4374,West Bengal-4-41-10,196.28,3.6,4141.95,0,0,352.45,575.768,0,3600,15800,0,1875825
4375,West Bengal-4-41-2,68.65,1.28,1550.15,0,21.65,110,208.028,0,1480,5900,0,670901
4376,West Bengal-4-41-3,64.71,1.29,1503.75,0,23.75,95.5,152.382,0,630,2600,0,532236
4377,West Bengal-4-41-4,97.8,1.8,1978.45,0,28.95,151.5,280.164,0,1840,1899,0,544896
4378,West Bengal-4-41-5,57.86,1.16,1376,0,20.5,86,126.718,0,395,360,0,577976
4379,West Bengal-4-41-6,89.76,1.68,1901.6,0,27.1,126.5,253.776,0,1670,1300,0,680400
4380,West Bengal-4-41-7,85.46,1.66,1898.75,0,28.75,129.5,216.578,0,1005,4500,0,650584
4381,West Bengal-4-41-8,89.01,1.71,1903.65,0,28.65,131.5,226.6,0,1125,4600,0,750560
4382,West Bengal-4-41-9,103.4,2,2283.6,0,36.1,153,219.164,0,1320,5800,0,591266
4383,West Bengal-4-42-1,8.1,0.14,128.133,0,5.6,10,25.34,7,220,700,0,1742
4384,West Bengal-4-42-10,147.1,2.64,1901.8,0,92.8,198,515.21,132,4672,13200,0,51936.904
4385,West Bengal-4-42-2,11.7,0.2,163.7,0,7.9,14,38.24,10,341,1000,0,2276
4386,West Bengal-4-42-3,17.4,0.3,258.1,0,11.6,21.5,59.92,15,513,1500,0,10716
4387,West Bengal-4-42-4,17.5,0.3,257.18,0,12.6,21.5,55.09,15,513,1500,0,8980
4388,West Bengal-4-42-5,23.45,0.4,341.633,0,14.8,29,75.74,20,662,2000,0,9556
4389,West Bengal-4-42-6,46.8,0.8,604.3,0,28.8,58,161.1,40,1331,3000,0,438360
