DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Hired Machine (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Manure (Qtl.),Insecticides (Rs.),Miscelaneous Cost (Rs.), Total Capital (Rs.)
2055,Kerala-1-5-5,11.5,0.61,197.333,0,4,50,12,2.5,0,0,18030
2056,Kerala-1-5-6,8.5,0.4,129.333,0,3,35,8.8,5,0,0,10645
2057,Kerala-1-5-7,18.3,1.01,255.334,0,9,90,20,5,0,0,33615
2058,Kerala-1-5-8,20,1.01,301.333,0,8,90,30,5.5,0,0,11885
2059,Kerala-1-5-9,37.1,1.62,474.667,0,14,160,30,7,0,0,23240
2060,Kerala-2-10-10,235.5,3.86,1161.167,0,38,526,1041.868,0,11296,163,1850
2061,Kerala-2-10-2,44.4,0.75,249.333,0,8.75,112,152,0.4,2405,0,534
2062,Kerala-2-10-3,57.5,1.02,312,0,7.75,138,137.8,0,3194,0,205
2063,Kerala-2-10-4,35.25,0.61,244.333,0,6,80,176.555,0,1916,0,225
2064,Kerala-2-10-5,60,1.02,427,0,13.75,138,291.68,0,2790,0,280
2065,Kerala-2-10-6,68.75,1.12,485.667,0,13.75,151,264.306,0.41,3124,0,720
2066,Kerala-2-10-7,120,2.03,855,0,19.5,275,405.5,1.25,6387.5,0,940
2067,Kerala-2-10-8,150,2.44,814.666,0,22.5,330,683,0,7665,0,730
2068,Kerala-2-10-9,176.25,3.05,827.667,0,30.25,413,987.88,3,9770,0,365
2069,Kerala-2-11-4,17.25,0.41,161.083,0,6.5,35,68.52,0.05,1371,40,16285
2070,Kerala-2-11-6,27.08,0.48,211.333,0,6.75,46,75.6,0,1371,48,1237.5
2071,Kerala-2-11-9,66.05,1.54,636.749,0,23,145,239.67,0.1,4747,154,12188.75
2072,Kerala-2-12-1,37,0.6,116,0,6.75,60,92.14,0,1003.5,0,325
2073,Kerala-2-12-10,352,6,1148,0,69,600,874.2,0,13320,0,137.5
2074,Kerala-2-12-2,48,0.8,154.333,0,9,80,123.9,0,1776,0,165
2075,Kerala-2-12-3,50,0.9,178.5,0,10.75,90,138.7,0,1095.3,0,97.5
2076,Kerala-2-12-4,55,1,189.5,0,11.5,100,153.52,0,2220,0,97.5
2077,Kerala-2-12-5,111,1.6,301.333,0,18,160,244.6,0,3568.8,0,375
2078,Kerala-2-12-6,160,2.8,541,0,32.5,280,428.8,0,6195,0,195
2079,Kerala-2-12-8,182.5,3.2,625,0,37,320,479.7,0,7478.4,0,390
2080,Kerala-2-12-9,318,5.6,1074.333,0,64,560,833.1,0,12432,0,292.5
2081,Kerala-2-13-1,12,0.4,142,0,6,35,50.3,5,300,0,768
2082,Kerala-2-13-10,22.25,0.6,198.667,0,9,45,92.6,7,200,0,2726
2083,Kerala-2-13-2,20.75,0.68,278.667,0,6,60,34.6,10,75,0,492
2084,Kerala-2-13-3,30.5,1.2,301.667,0,16,100,89.2,11,300,0,1318
2085,Kerala-2-13-4,31.75,1.2,374,0,18,100,0,10,0,0,5300
2086,Kerala-2-13-5,8.9,0.27,77.334,0,2.5,25,37.9,4,0,0,526
2087,Kerala-2-13-6,16,0.6,236,0,9,60,41.3,16.25,0,0,2450
2088,Kerala-2-13-7,36,1.1,338.999,0,17,100,85.8,18,600,0,546
2089,Kerala-2-13-8,15,0.56,168.333,0,8,60,56.3,10,0,0,542
2090,Kerala-2-13-9,11.7,0.4,167.667,0,6,40,20.3,8,0,0,60
2091,Kerala-2-14-2,8,0.2,44,0,3.25,16,39.5,1,466,0,1265
2092,Kerala-2-14-3,18.75,0.6,94.5,0,10.5,55,81.9,0,260,46,302
2093,Kerala-2-14-4,10.6,0.26,115.667,0,8,30,40.8,0,265,0,340
2094,Kerala-2-14-5,15,0.4,137,0,8,35,95.4,2.5,290,0,20545
2095,Kerala-2-14-6,27,0.8,257.333,0,14,70,210,5,560,0,405
2096,Kerala-2-14-7,9.45,0.68,167.5,0,14.75,55,88.2,0,315,0,620
2097,Kerala-2-14-8,73.5,1.21,334,0,21.75,102,126.3,3.5,3010,0,49620
2098,Kerala-2-14-9,17.5,0.6,73,0,4.5,40,58.1,0,160,0,150
2103,Kerala-2-15-5,39.25,0.56,95.333,0,8,60,103,0.7,1017,0,8912
2108,Kerala-2-16-1,14.3,0.8,517.663,0,6,60,30.4,29.5,0,40,590
2109,Kerala-2-16-10,27.2,1.6,875.666,0,15,160,0,25,0,80,38838
2110,Kerala-2-16-2,15.8,0.54,571.67,0,4.75,42,21.2,25,80,16,10731
2112,Kerala-2-16-5,21,0.7,486,0,12,70,56.4,26,600,70,345
2113,Kerala-2-16-6,18.6,0.56,589.663,0,7.6,40,16.6,21,0,0,24279
2114,Kerala-2-16-7,8.8,0.26,224.666,0,6,18,10.8,7,150,26,399
2115,Kerala-2-16-9,28.9,1.6,978.333,0,13,85,16.1,31,90,100,21540
2116,Kerala-2-17-1,1.15,0.04,55.333,0,2,4,5.3,0,50,0,29915
2117,Kerala-2-17-10,68.2,1.52,568,0,22,155,90,7.2,3720,0,20040
2118,Kerala-2-17-2,18.7,0.34,314.167,0,8.5,40,51,0,0,0,37820
2119,Kerala-2-17-3,22,0.75,139.5,0,10.5,80,0,6.5,0,0,13494
2120,Kerala-2-17-5,22.5,0.81,258.333,0,16,100,48.1,1.05,0,0,27356
2121,Kerala-2-17-6,16.5,0.62,264,0,15,45,74.2,0,0,0,3146
2122,Kerala-2-17-7,30,0.81,287.667,0,17.5,80,38.1,20,0,0,103466
2123,Kerala-2-17-8,13.5,0.41,253.667,0,8.5,40,63.8,5.5,0,0,3115
2124,Kerala-2-17-9,88,1.62,545,0,30,120,181.6,12,0,0,3257
2125,Kerala-2-18-1,6,0.4,133.666,0,4,30,36.02,0,0,0,357
2126,Kerala-2-18-2,3.46,0.48,205,0,4.15,45,69.72,2.01,270,0,1600
2127,Kerala-2-18-3,4.4,0.26,143.5,0,3.6,24,9.12,0.8,100,0,1795
2128,Kerala-2-18-6,4.2,0.4,254,0,7,35,97,17.51,290,0,4330
2129,Kerala-2-18-7,3.5,0.26,356.333,0,2.5,28,31.8,6.2,270,0,1885
2130,Kerala-2-18-9,12.7,1.2,477.333,0,4.5,75,139.5,3,380,0,945
2131,Kerala-2-19-3,32,0.6,519.5,0,5,53,43,0,200,0,471
2132,Kerala-2-19-4,20,0.81,213.333,0,5.25,55,76.2,3,90,0,364
2133,Kerala-2-19-5,19,1,231.5,0,4.75,38,51.6,8,0,0,572
2134,Kerala-2-19-6,35,0.81,587.833,0,6,72,51.6,14,200,0,920
2135,Kerala-2-19-9,35,0.81,364.833,0,23.5,75,63.6,12,210,0,989
2136,Kerala-2-20-1,4,0.14,155.33,0,2,18,10.18,15,120,0,268
2137,Kerala-2-20-10,30,1.08,596,0,15,76,78.7,13.5,480,0,547.5
2138,Kerala-2-20-2,7,0.24,265,0,3,25,20.14,19,120,0,468
2139,Kerala-2-20-3,4.5,0.12,102.667,0,2,17,13.94,11.15,0,0,205.5
2140,Kerala-2-20-4,10,0.39,309.333,0,4,40,35.1,24,280,0,376
2141,Kerala-2-20-5,7.5,0.23,177,0,3,30,22.31,19.5,0,0,377
2142,Kerala-2-20-6,8,0.3,218.5,0,3,38,29,22.21,0,0,243
2143,Kerala-2-20-7,16,0.52,343.667,0,6,35,23.36,30,131,150,311.5
2144,Kerala-2-20-8,5.5,0.16,126.667,0,3,24,16.72,13,0,0,1699
2145,Kerala-2-20-9,18,0.58,485.667,0,7.5,40,24.6,8,240,0,1699
